source_sheet,fund_type,source_row,branch_text,row_values
N. FUND,NATIONAL,2,Region / Branch,Region / Branch
N. FUND,NATIONAL,3,Zone,Greater Accra | Zone | JAN | FEB | MAR | APRIL | MAY | JUNE | JULY | AUG | SEPT | OCT | NOV | DEC | GHc
N. FUND,NATIONAL,4,zone 1,1 | Accra Newtown | zone 1 | 119 | 200 | 400 | 160 | 200 | 200 | 225 | 200 | 400 | 345 | 2449 | 2449.0
N. FUND,NATIONAL,5,Kasoa | zone 1,2 | Kasoa | zone 1 | 200 | 200 | 300 | 320 | 199 | 149 | 173 | 200 | 149 | 120 | 2010 | 2010.0
N. FUND,NATIONAL,6,zone 1,3 | Sapeiman | zone 1 | 30 | 50 | 49 | 50 | 99 | 49 | 99 | 178 | 70 | 99 | 119 | 892 | 892.0
N. FUND,NATIONAL,7,zone 1,4 | Oshuiman | zone 1 | 41 | 50 | 49 | 49 | 49 | 40 | 49 | 59 | 49 | 49 | 50 | 39 | 573 | 573.0
N. FUND,NATIONAL,8,Taifa | zone 1,5 | Taifa | zone 1 | 70 | 92 | 82 | 107 | 106 | 119 | 48 | 624 | 624.0
N. FUND,NATIONAL,9,Nyanyano | zone 1,6 | Nyanyano | zone 1 | 30 | 30 | 20 | 30 | 30 | 30 | 30 | 50 | 40 | 40 | 41 | 40 | 411 | 411.0
N. FUND,NATIONAL,10,Teshie | zone2,7 | Teshie | zone2 | 20 | 60 | 30 | 69 | 50 | 80 | 100 | 100 | 509 | 509.0
N. FUND,NATIONAL,11,zone 2,8 | Madina | zone 2 | 40 | 30 | 218 | 112 | 288 | 129 | 149 | 199 | 299 | 154 | 143 | 206 | 1967 | 1967.0
N. FUND,NATIONAL,12,zone 2,9 | Prampram | zone 2 | 0
N. FUND,NATIONAL,13,zone 2,10 | Mampong | zone 2 | 125 | 125 | 125.0
N. FUND,NATIONAL,14,Ashaiman | zone 2,11 | Ashaiman | zone 2 | 11 | 15 | 15 | 35 | 146 | 56 | 49 | 15 | 21 | 34 | 397 | 397.0
N. FUND,NATIONAL,15,zone 2,12 | Larteh | zone 2 | 0
N. FUND,NATIONAL,16,Odorkor | zone 2,13 | Odorkor | zone 2 | 40 | 50 | 79 | 59 | 79 | 79 | 277 | 99 | 100 | 99 | 299 | 99 | 1359 | 1359.0
N. FUND,NATIONAL,17,zone 2,14 | Achimota | zone 2 | 141 | 150 | 90 | 79 | 70 | 59 | 79 | 115 | 110 | 149 | 79 | 89 | 1210 | 1210.0
N. FUND,NATIONAL,21,Nyenkyerenease,17 | Nyenkyerenease | 59 | 49 | 60 | 50 | 79 | 297 | 297.0
